date,close,volume,open,high,low
4/26/16,253.74,3217779,252.05,255.73,249.39
4/25/16,251.82,3665088,253.01,257.38,250.76
4/22/16,253.75,3783126,248.89,254,245.71
4/21/16,248.29,2777079,248.99,250.9,246.91
4/20/16,249.97,5192343,246.26,253.66,241.5
4/19/16,247.37,6351360,253.12,254.3699,241.251
4/18/16,253.88,4263246,252.23,258.31,251.66
4/15/16,254.51,3748593,251.31,254.6,249.12
4/14/16,251.86,4129258,253,256.839,251.0501
4/13/16,254.53,4921554,248.51,255.5,247.33
4/12/16,247.82,5755351,249.5,251.8,243.63
4/11/16,249.92,9156404,251,258.99,245.3
4/8/16,250.07,7352707,260.5,260.82,248.0201
4/7/16,257.2,8845567,266.45,269.34,254.51
4/6/16,265.42,11695760,253.97,267.74,253.45
4/5/16,255.47,9931470,240.5,256.56,240
4/4/16,246.99,13381160,249.12,252.12,243.64
4/1/16,237.59,15979910,244.825,247.9,233.25
3/31/16,229.77,7975638,229.34,237.42,225.01
3/30/16,226.89,4025670,235.09,235.5,226.5
3/29/16,230.13,4006037,229.89,232.38,225.33
3/28/16,230.26,3878599,231.61,234.81,225
3/24/16,227.75,4956604,215.78,228.8877,215
3/23/16,222.58,4936203,232.37,234.73,222.03
3/22/16,234.24,4303052,237.21,238.99,232.558
3/21/16,238.32,5289014,235.34,239.88,235
3/18/16,232.74,4704761,229.1,234.48,228.06
3/17/16,226.38,3769083,221.47,228.5,220
3/16/16,221.93,3511873,218,222.58,217.02
3/15/16,218.34,3133230,214.27,218.97,211.5
3/14/16,215.15,4062304,212.65,216.72,210.64
3/11/16,207.5,3339148,207.93,209.42,205.33
3/10/16,205.18,5191602,210,213.29,200.671
3/9/16,208.72,3207597,204.52,209.3726,202.79
3/8/16,202.6,4175498,203.5,207.5,202.2
3/7/16,205.29,5331097,197.68,209.7,197.4
3/4/16,201.04,6479858,198,204.03,197.5001
3/3/16,195.74,4822993,188.28,197.42,184.22
3/2/16,188.34,4858631,183.73,188.52,181.5
3/1/16,186.35,6695704,194.25,195.9484,182.7
2/29/16,191.93,4495402,192.4,196.35,189.222
2/26/16,190.34,6054061,188.7,192,185
2/25/16,187.43,5727008,178.65,188.5192,175.2
2/24/16,179,5385369,172.75,179.5,167.84
2/23/16,177.21,5982993,176.16,181.73,173.68
2/22/16,177.74,5055340,170.12,178.91,169.85
2/19/16,166.58,2955832,163.66,167.49,162.5
2/18/16,166.77,3883107,172.42,172.95,164.77
2/17/16,168.68,5820264,159,169.34,156.68
2/16/16,155.17,5561638,158.7,162.95,154.11
2/12/16,151.04,7233264,155,157.01,143.7
2/11/16,150.47,14236900,152,163.26,147
2/10/16,143.67,10104690,150.5,154.97,141.74
